session_id,year,event_name,category,flag,scope,messages,missing_session_time,lap_scoped,driver_scoped
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Other,missing,missing,27,5,27,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,DOUBLE YELLOW,Sector,12,6,12,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,CLEAR,Sector,12,6,12,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,BLUE,Driver,9,0,9,9
2025-miami-grand-prix-r,2025,Miami Grand Prix,SafetyCar,missing,missing,6,0,6,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Drs,missing,missing,4,1,4,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,CLEAR,Track,3,0,3,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,Flag,YELLOW,Sector,1,0,1,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,BLUE,Driver,146,0,146,146
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Other,missing,missing,30,4,30,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,CLEAR,Sector,6,1,6,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,DOUBLE YELLOW,Sector,4,1,4,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,YELLOW,Sector,2,0,2,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Drs,missing,missing,2,1,2,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,SafetyCar,missing,missing,2,0,2,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Other,missing,missing,53,3,53,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,BLUE,Driver,8,0,8,8
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,CLEAR,Sector,4,0,4,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Drs,missing,missing,3,1,3,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,BLACK AND WHITE,Driver,3,0,3,3
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,SafetyCar,missing,missing,2,0,2,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,DOUBLE YELLOW,Sector,1,0,1,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,YELLOW,Sector,1,0,1,0
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Other,missing,missing,30,2,30,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,BLUE,Driver,13,0,13,13
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,DOUBLE YELLOW,Sector,6,0,6,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,CLEAR,Sector,4,0,4,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,YELLOW,Sector,3,0,3,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,SafetyCar,missing,missing,2,0,2,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Drs,missing,missing,2,1,2,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,BLACK AND WHITE,Driver,1,0,1,1
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
