session_id,event_round,event_name,driver_code,lap_number,bad_flag_flip_count,replay_safety_flip_count,lap_comparison_safety_flip_count,recommendation_flip_count,primary_category_flip_count,baseline_bad_lap_any_category,baseline_safe_for_replay,baseline_safe_for_lap_comparison,baseline_product_recommendation,baseline_primary_category,any_sensitivity_flip_count
2025-mexico-city-grand-prix-r,20,Mexico City Grand Prix,LEC,57,1,1,1,1,1,False,True,True,keep,clean,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,ALB,21,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,ALO,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,ANT,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,BEA,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,COL,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,GAS,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,HAD,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,HAM,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,HUL,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,LEC,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,OCO,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,RUS,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,TSU,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,VER,22,1,1,1,1,1,True,False,False,exclude,timing_session_boundary_artifact,5
2025-qatar-grand-prix-r,23,Qatar Grand Prix,LAW,57,1,1,1,1,1,False,True,True,keep,clean,5
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,ANT,4,1,1,1,1,1,False,True,True,keep,clean,5
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,ANT,5,1,1,1,1,1,False,True,True,keep,clean,5
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,ANT,6,1,1,1,1,1,False,True,True,keep,clean,5
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,ANT,21,1,1,1,1,1,False,True,True,keep,clean,5
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,ANT,29,1,1,1,1,1,False,True,True,keep,clean,5
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,HUL,48,1,1,1,1,1,False,True,True,keep,clean,5
2025-australian-grand-prix-r,1,Australian Grand Prix,GAS,45,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-australian-grand-prix-r,1,Australian Grand Prix,HAM,44,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-australian-grand-prix-r,1,Australian Grand Prix,HAM,52,1,0,1,1,1,False,True,True,keep,clean,4
2025-australian-grand-prix-r,1,Australian Grand Prix,NOR,42,1,0,1,1,1,False,True,True,keep,clean,4
2025-australian-grand-prix-r,1,Australian Grand Prix,PIA,52,1,0,1,1,1,False,True,True,keep,clean,4
2025-australian-grand-prix-r,1,Australian Grand Prix,VER,44,1,0,1,1,1,False,True,True,keep,clean,4
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,BOR,47,1,0,1,1,1,False,True,True,keep,clean,4
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,OCO,50,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,ALB,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,ANT,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
