event_round,event_name,driver_code,total_laps,bad_laps,integrity_laps,context_laps,shape_laps,replay_unsafe_laps,lap_comparison_unsafe_laps,bad_pct,integrity_pct,context_pct,shape_pct,replay_unsafe_pct,lap_comparison_unsafe_pct
17,Azerbaijan Grand Prix,TSU,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,VER,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
23,Qatar Grand Prix,COL,56,13,8,11,7,1,13,23.214285714285715,14.285714285714285,19.642857142857142,12.5,1.7857142857142856,23.214285714285715
23,Qatar Grand Prix,OCO,56,13,7,11,6,1,13,23.214285714285715,12.5,19.642857142857142,10.714285714285714,1.7857142857142856,23.214285714285715
4,Bahrain Grand Prix,DOO,57,13,13,4,9,0,13,22.807017543859647,22.807017543859647,7.017543859649122,15.789473684210526,0.0,22.807017543859647
4,Bahrain Grand Prix,VER,57,13,13,4,9,1,13,22.807017543859647,22.807017543859647,7.017543859649122,15.789473684210526,1.7543859649122806,22.807017543859647
6,Miami Grand Prix,VER,57,13,10,5,8,0,13,22.807017543859647,17.543859649122805,8.771929824561402,14.035087719298245,0.0,22.807017543859647
23,Qatar Grand Prix,ALO,57,13,7,10,7,0,13,22.807017543859647,12.280701754385964,17.543859649122805,12.280701754385964,0.0,22.807017543859647
23,Qatar Grand Prix,BOR,57,13,7,10,7,0,13,22.807017543859647,12.280701754385964,17.543859649122805,12.280701754385964,0.0,22.807017543859647
23,Qatar Grand Prix,HAM,57,13,7,10,7,0,13,22.807017543859647,12.280701754385964,17.543859649122805,12.280701754385964,0.0,22.807017543859647
4,Bahrain Grand Prix,SAI,45,10,10,6,8,1,10,22.22222222222222,22.22222222222222,13.333333333333334,17.77777777777778,2.2222222222222223,22.22222222222222
7,Emilia Romagna Grand Prix,ALB,63,14,13,5,12,0,14,22.22222222222222,20.634920634920633,7.936507936507936,19.047619047619047,0.0,22.22222222222222
7,Emilia Romagna Grand Prix,HUL,63,14,13,3,12,0,14,22.22222222222222,20.634920634920633,4.761904761904762,19.047619047619047,0.0,22.22222222222222
7,Emilia Romagna Grand Prix,NOR,63,14,13,5,13,0,14,22.22222222222222,20.634920634920633,7.936507936507936,20.634920634920633,0.0,22.22222222222222
9,Spanish Grand Prix,ALB,27,6,6,4,5,0,6,22.22222222222222,22.22222222222222,14.814814814814813,18.51851851851852,0.0,22.22222222222222
5,Saudi Arabian Grand Prix,ALO,50,11,6,7,3,2,11,22.0,12.0,14.000000000000002,6.0,4.0,22.0
5,Saudi Arabian Grand Prix,ANT,50,11,6,7,3,2,11,22.0,12.0,14.000000000000002,6.0,4.0,22.0
5,Saudi Arabian Grand Prix,HAM,50,11,6,7,3,2,11,22.0,12.0,14.000000000000002,6.0,4.0,22.0
22,Las Vegas Grand Prix,ANT,50,11,6,7,4,1,11,22.0,12.0,14.000000000000002,8.0,2.0,22.0
22,Las Vegas Grand Prix,GAS,50,11,6,7,5,1,11,22.0,12.0,14.000000000000002,10.0,2.0,22.0
22,Las Vegas Grand Prix,PIA,50,11,7,6,6,1,11,22.0,14.000000000000002,12.0,12.0,2.0,22.0
22,Las Vegas Grand Prix,SAI,50,11,7,6,7,1,11,22.0,14.000000000000002,12.0,14.000000000000002,2.0,22.0
23,Qatar Grand Prix,BEA,41,9,9,6,9,0,9,21.951219512195124,21.951219512195124,14.634146341463413,21.951219512195124,0.0,21.951219512195124
8,Monaco Grand Prix,ALO,37,8,7,2,6,1,8,21.62162162162162,18.91891891891892,5.405405405405405,16.216216216216218,2.7027027027027026,21.62162162162162
17,Azerbaijan Grand Prix,OCO,51,11,4,9,2,3,11,21.568627450980394,7.8431372549019605,17.647058823529413,3.9215686274509802,5.88235294117647,21.568627450980394
