session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct,longest_segment_ms,segments_over_2s,degraded_windows,severe_windows,windows_with_incident_context,max_window_non_ok_pct,desktop_replay_risk_score,desktop_guidance
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,OCO,60999,1240,767,172,256,45,0,939,807,2.0328202101673796,2300,1,95,0,54,9.0,17.331280840669518,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LAW,61005,1240,767,172,256,45,0,939,807,2.0326202770264734,2300,1,95,0,54,9.0,17.330481108105893,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LEC,60371,1227,755,171,256,45,0,926,805,2.0324327905782575,2300,1,94,0,54,9.0,17.32973116231303,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,PIA,60373,1227,755,171,256,45,0,926,805,2.0323654613817435,2300,1,94,0,54,9.0,17.329461845526975,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,BOR,61022,1240,767,172,256,45,0,939,807,2.0320540133066762,2300,1,95,0,54,9.0,17.328216053226704,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,STR,61043,1240,767,172,256,45,0,939,807,2.031354946513114,2300,1,95,0,54,9.0,17.325419786052457,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HUL,61054,1240,767,172,256,45,0,939,807,2.0309889605922624,2300,1,95,0,54,9.0,17.32395584236905,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,TSU,61058,1240,767,172,256,45,0,939,807,2.0308559074977888,2300,1,95,0,54,9.0,17.323423629991154,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,ANT,60422,1227,755,171,256,45,0,926,805,2.030717288404886,2300,1,94,0,54,9.0,17.322869153619543,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,ALB,60459,1227,755,171,256,45,0,926,805,2.0294745199225925,2300,1,94,0,54,9.0,17.31789807969037,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,SAI,60491,1227,755,171,256,45,0,926,805,2.028400919144997,2300,1,94,0,54,9.0,17.313603676579987,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,VER,60545,1227,755,171,256,45,0,926,805,2.026591791229664,2300,1,94,0,54,9.0,17.306367164918655,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ANT,52092,1229,480,124,511,114,0,604,639,2.3592874145742146,1700,0,97,0,26,9.767441860465116,17.251103146668953,diagnostics_only
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,NOR,48890,815,514,99,146,56,0,613,557,1.6670075680098178,2000,1,72,1,19,10.0,17.16803027203927,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,BEA,40397,1044,463,101,408,72,0,564,482,2.5843503230437905,1400,0,84,0,43,8.333333333333332,17.00406795884183,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ALO,52104,1229,480,124,511,114,0,604,639,2.3587440503608166,1700,0,97,0,26,9.333333333333334,16.901642868109935,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,SAI,52146,1229,480,124,511,114,0,604,639,2.3568442450044107,1700,0,97,0,26,9.333333333333334,16.89404364668431,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,STR,52022,1219,470,124,511,114,0,594,639,2.343239398715928,1700,0,97,0,26,9.333333333333334,16.83962426153038,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,RUS,51574,1208,470,124,500,114,0,594,628,2.3422654826075155,1700,0,96,0,26,9.333333333333334,16.83572859709673,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ALB,51624,1208,470,124,500,114,0,594,628,2.339996900666357,1700,0,96,0,26,9.333333333333334,16.826654269332096,diagnostics_only
