session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,NOR,4,raw_car_telemetry,20444,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,NOR,4,raw_location_telemetry,20751,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,OCO,31,raw_car_telemetry,20599,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,OCO,31,raw_location_telemetry,20909,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,PIA,81,raw_car_telemetry,20406,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,PIA,81,raw_location_telemetry,20715,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,RUS,63,raw_car_telemetry,20449,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,RUS,63,raw_location_telemetry,20757,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,SAI,55,raw_car_telemetry,20690,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,SAI,55,raw_location_telemetry,21008,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,STR,18,raw_car_telemetry,20670,159.0,240.0,400.0,480.3199999999997,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,STR,18,raw_location_telemetry,20988,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,TSU,22,raw_car_telemetry,20496,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,TSU,22,raw_location_telemetry,20806,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,VER,1,raw_car_telemetry,20469,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,VER,1,raw_location_telemetry,20779,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ALB,23,raw_car_telemetry,18548,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
