session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,LAW,51716,945,529,116,265,35,0,645,693,1.8272874932322685
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,LEC,51901,945,529,116,265,35,0,645,693,1.8207741662010366
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,NOR,51835,945,529,116,265,35,0,645,693,1.8230925050641458
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,PIA,51796,945,529,116,265,35,0,645,693,1.8244652096687002
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,VER,51671,945,529,116,265,35,0,645,693,1.8288788682239554
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,DOO,55333,930,573,102,201,54,0,675,647,1.6807330164639547
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HAD,55338,930,573,102,201,54,0,675,647,1.6805811558061368
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,LAW,55361,930,573,102,201,54,0,675,647,1.6798829500912196
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,SAI,55312,930,573,102,201,54,0,675,647,1.6813711310384727
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ALB,55111,929,573,101,201,54,0,674,647,1.685688882437263
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ANT,55088,929,573,101,201,54,0,674,647,1.6863926808016267
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,BEA,55163,929,573,101,201,54,0,674,647,1.6840998495368273
