session_id,year,event_name,surface,surface_key,start_ms,end_ms,span_ms,derived_session_duration_ms,active_replay_start_ms,active_replay_end_ms,active_replay_duration_ms,coverage_ratio,active_coverage_ratio,starts_after_active_ms,ends_before_active_end_ms
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,session status,session_status,7359,9412940,9405581,9412940,3468106,9261406,5793300,0.9992182038767908,1.0,-3460747,-151534
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,race control,race_control,186000,6105000,5919000,9412940,3468106,9261406,5793300,0.628815226698566,0.45516268793261183,-3282106,3156406
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,raw telemetry,telemetry,3394276,9327578,5933302,10002761,3394287,9327487,5933200,0.5931664267495744,1.0,-11,-91
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,raw position,position,201079,6134545,5933466,10002761,3394287,9327487,5933200,0.5931828222227843,0.4618516146430257,-3193208,3192942
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,aligned replay,aligned,3394287,9327487,5933200,10002761,3394287,9327487,5933200,0.5931562295650171,1.0,0,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,weather,weather,58063,9538917,9480854,10002761,3394287,9327487,5933200,0.947823705874808,1.0,-3336224,-211430
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,track status,track_status,0,9527095,9527095,10002761,3394287,9327487,5933200,0.9524465295132014,1.0,-3394287,-199608
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,session status,session_status,5062,10002761,9997699,10002761,3394287,9327487,5933200,0.9994939397232424,1.0,-3389225,-675274
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,race control,race_control,201000,6810000,6609000,10002761,3394287,9327487,5933200,0.6607175758773003,0.5756949032562529,-3193287,2517487
2025-italian-grand-prix-r,2025,Italian Grand Prix,raw telemetry,telemetry,3469939,7956596,4486657,8652942,3470087,7956587,4486500,0.5185123163890385,1.0,-148,-9
2025-italian-grand-prix-r,2025,Italian Grand Prix,raw position,position,214934,4701696,4486762,8652942,3470087,7956587,4486500,0.5185244509901951,0.27451443218544525,-3255153,3254891
2025-italian-grand-prix-r,2025,Italian Grand Prix,aligned replay,aligned,3470087,7956587,4486500,8652942,3470087,7956587,4486500,0.5184941722711189,1.0,0,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,weather,weather,18360,8598890,8580530,8652942,3470087,7956587,4486500,0.9916315167719835,1.0,-3451727,-642303
2025-italian-grand-prix-r,2025,Italian Grand Prix,track status,track_status,0,6824950,6824950,8652942,3470087,7956587,4486500,0.7887432967885374,0.7477684163601916,-3470087,1131637
2025-italian-grand-prix-r,2025,Italian Grand Prix,session status,session_status,7141,8652942,8645801,8652942,3470087,7956587,4486500,0.9991747315537305,1.0,-3462946,-696355
2025-italian-grand-prix-r,2025,Italian Grand Prix,race control,race_control,215000,4896000,4681000,8652942,3470087,7956587,4486500,0.5409720763180893,0.3178230246294439,-3255087,3060587
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,raw telemetry,telemetry,3447547,9150309,5702762,9389504,3447717,9150217,5702500,0.6073549784951366,1.0,-170,-92
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,raw position,position,233733,5936411,5702678,9389504,3447717,9150217,5702500,0.6073460323356803,0.43642156948706706,-3213984,3213806
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,aligned replay,aligned,3447717,9150217,5702500,9389504,3447717,9150217,5702500,0.6073270749977847,1.0,0,0
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,weather,weather,23331,9323805,9300474,9389504,3447717,9150217,5702500,0.990518135995256,1.0,-3424386,-173588
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,track status,track_status,0,9332892,9332892,9389504,3447717,9150217,5702500,0.9939707145340159,1.0,-3447717,-182675
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,session status,session_status,6173,9389504,9383331,9389504,3447717,9150217,5702500,0.9993425637818568,1.0,-3441544,-239287
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,race control,race_control,234000,6175000,5941000,9389504,3447717,9150217,5702500,0.6327277777399104,0.4782609381850066,-3213717,2975217
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,raw telemetry,telemetry,3297851,9413677,6115826,9642852,3297937,9413637,6115700,0.6342341456656184,1.0,-86,-40
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,raw position,position,212234,6328287,6116053,9642852,3297937,9413637,6115700,0.6342576864189142,0.4955033765554229,-3085703,3085350
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,aligned replay,aligned,3297937,9413637,6115700,9642852,3297937,9413637,6115700,0.6342210789919829,1.0,0,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,weather,weather,38510,9639692,9601182,9642852,3297937,9413637,6115700,0.9956786643619543,1.0,-3259427,-226055
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,track status,track_status,2064,7623301,7621237,9642852,3297937,9413637,6115700,0.7903509252241971,0.7072557515901695,-3295873,1790336
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,session status,session_status,8064,9642852,9634788,9642852,3297937,9413637,6115700,0.9991637328873242,1.0,-3289873,-229215
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,race control,race_control,212000,6532000,6320000,9642852,3297937,9413637,6115700,0.6554077569582111,0.5288132184377913,-3085937,2881637
2025-united-states-grand-prix-r,2025,United States Grand Prix,raw telemetry,telemetry,3404672,9137252,5732580,9289288,3404707,9137207,5732500,0.6171172645309306,1.0,-35,-45
2025-united-states-grand-prix-r,2025,United States Grand Prix,raw position,position,220181,5953023,5732842,9289288,3404707,9137207,5732500,0.6171454690607073,0.44453833406018317,-3184526,3184184
2025-united-states-grand-prix-r,2025,United States Grand Prix,aligned replay,aligned,3404707,9137207,5732500,9289288,3404707,9137207,5732500,0.6171086524607698,1.0,0,0
2025-united-states-grand-prix-r,2025,United States Grand Prix,weather,weather,34333,9214705,9180372,9289288,3404707,9137207,5732500,0.9882750970795608,1.0,-3370374,-77498
2025-united-states-grand-prix-r,2025,United States Grand Prix,track status,track_status,0,6898675,6898675,9289288,3404707,9137207,5732500,0.7426484139580989,0.6095016136066289,-3404707,2238532
2025-united-states-grand-prix-r,2025,United States Grand Prix,session status,session_status,9840,9289288,9279448,9289288,3404707,9137207,5732500,0.99894071537022,1.0,-3394867,-152081
2025-united-states-grand-prix-r,2025,United States Grand Prix,race control,race_control,220000,6105000,5885000,9289288,3404707,9137207,5732500,0.63352541120482,0.4710498037505451,-3184707,3032207
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,raw telemetry,telemetry,3427710,9384811,5957101,9707743,3427825,9384725,5956900,0.6136442837433995,1.0,-115,-86
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,raw position,position,196599,6153681,5957082,9707743,3427825,9384725,5956900,0.6136423265428431,0.45759640081250313,-3231226,3231044
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,aligned replay,aligned,3427825,9384725,5956900,9707743,3427825,9384725,5956900,0.6136235786217249,1.0,0,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,weather,weather,18513,9678846,9660333,9707743,3427825,9384725,5956900,0.995116269559258,1.0,-3409312,-294121
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,track status,track_status,0,9287646,9287646,9707743,3427825,9384725,5956900,0.9567255746263575,0.98370310060602,-3427825,97079
